site,address,city,zip
Eastmont Mall WIC,7200 Bancroft Avenue Suite 204,Oakland,94605
Fremont Resource Center,39155 Liberty Street Suite H-840,Fremont,94538
Hayward WIC,24085 Amador Suite 100,Hayward,94544
North Oakland Office (Telegraph),3600 Telegraph Avenue,Oakland,94609
Cloverdale,223-A S Cloverdale Boulevard,Cloverdale,95425
Healdsburg,1381 University Street,Healdsburg,95448
Windsor,8465 Old Redwood Highway Suite 410,Windsor,95492
City Of Berkeley,830 University Avenue,Berkeley,94710
Brentwood Health Center,171 Sand Creek Road,Brentwood,94513
Concord WIC Office,2355 Stanwell Circle,Concord,94520
Contra Costa County Health Department Richmond WIC Office,100 38th Street,Richmond,94805
Pittsburg WIC Office,2311 Loveridge Road,Pittsburg,94565
Alviso Health Clinic,1621 Gold Street,Alviso,95002
Comprecare Health Center,3030 Alum Rock Avenue,San Jose,95127
Emma Prusch Community Center,647 South King Road,San Jose,95116
Gardner Site WIC Office,160 East Virginia Suite 210,San Jose,95112
Gardner South County Health Clinic,7526 Monterey Road,Gilroy,95020
Mountain Community Resources,6134 Highway 9,Felton,95018
Santa Cruz,1105 Water Street,Santa Cruz,95062
Watsonville WIC,18 W Lake Avenue Suite A,Watsonville,95076
Pleasanton WIC Program,1991 Santa Rita Road Suite H,Pleasanton,94566
Del Norte County Health Department,286 M Street Suite D,Crescent City,95531
Eureka,317 2nd Street,Eureka,95501
Fortuna WIC,1108 Main Street,Fortuna,95540
Garberville WIC,727 Cedar Street,Garberville,95542
McKinleyville Clinic,1450 Hiller Road,McKinleyville,95519
IHC-Silver Creek WIC,1642 E Capitol Expressway,San Jose,95121
Indian Health Center,1685 Westwood Drive Suite 4,San Jose,95125
Mountain View WIC,327 Moffett Boulevard Suite F,Mountain View,94043
"La Clinica de La Raza, Inc.",2716 International Boulevard,Oakland,94601
San Antonio WIC,1030 International Boulevard,Oakland,94606
Marin City,630 Drake Avenue,Marin City,94965
Marin Community Clinics - Novato Clinic,6100 RedwoodBoulevard,Novato,94945
Marin Health and Wellness Campus,3250 Kerner Boulevard,San Rafael,94901
Novato Wellness Center,1767 Grant Avenue,Novato,94945
Point Reyes Community Center,100 6th Street,Point Reyes,94956
Boonville,14470 Highway 128,Boonville,95415
"Consolidated Tribal Health Project, Inc. (CTHP)",6991 North State Street Building A,Ukiah,95482
Covelo,2300 Henderson Road,Covelo,95428
Fort Bragg,120 West Fir Street,Fort Bragg,95437
Gualala,39144 Ocean Drive Suite 4,Gualala,95445
